project_id,state,district,project_type,land_area_hectares,affected_families,days_since_notification,compensation_disbursed_pct,legal_disputes_count,legal_dispute_stage,rr_progress_pct,approvals_pending,dept_response_days_avg,possession_status,documentation_completeness_pct,historical_delay_rate_region,delayed
db494a0a,Maharashtra,Nagpur,Urban Development,25.31,60,1244,65.3,0,None,49.0,4,30.0,Full,79.6,40.3,1
d52349fd,Odisha,Bhubaneswar,Urban Development,24.72,120,1271,43.6,2,Under Hearing,14.1,0,5.1,Partial,54.5,43.5,1
6af619fc,Odisha,Bhubaneswar,Industrial Corridor,7.42,18,385,55.2,1,Filed,37.0,0,25.7,Partial,50.6,37.9,1
c8a6a85b,Bihar,Muzaffarpur,Power Transmission,66.8,249,931,65.6,2,Stay Order,60.5,0,20.9,Partial,21.4,16.8,1
614aa6e3,Madhya Pradesh,Gwalior,Irrigation,9.93,12,827,76.1,0,None,36.1,5,32.4,Partial,34.2,28.9,0
53312125,Bihar,Muzaffarpur,Railway,53.33,249,1107,75.9,0,None,28.4,3,18.6,Partial,16.8,18.2,1
dbe7a4ab,Bihar,Gaya,Power Transmission,19.63,28,1014,39.6,0,None,90.1,5,19.3,Partial,59.4,28.2,0
b6d7044a,Maharashtra,Nashik,Irrigation,26.36,58,403,54.7,0,None,7.3,2,27.4,Full,36.1,47.1,1
ee5d86b2,Karnataka,Bengaluru,Industrial Corridor,14.85,41,1380,63.4,1,Filed,8.5,1,15.0,Full,42.3,30.1,1
7699104d,Tamil Nadu,Madurai,Highway,8.24,184,926,15.1,1,Filed,5.2,6,9.7,Partial,9.5,32.8,1
8f3c63d4,Madhya Pradesh,Gwalior,Irrigation,9.46,84,1392,46.8,0,None,72.7,3,22.5,Not Started,78.1,32.6,0
256d69b6,Karnataka,Bengaluru,Railway,11.3,71,902,93.0,2,Filed,43.2,3,34.9,Not Started,82.7,33.8,1
652c9c76,Gujarat,Ahmedabad,Power Transmission,7.05,65,238,91.4,0,None,72.0,4,4.5,Partial,79.0,16.2,0
236844f6,Bihar,Gaya,Industrial Corridor,27.77,15,1014,36.0,0,None,54.6,2,69.9,Partial,47.4,30.4,1
dfbd7dc6,Tamil Nadu,Coimbatore,Railway,18.64,78,924,29.8,0,None,53.4,5,32.8,Partial,8.4,56.0,0
6ddf6c5d,Bihar,Bhagalpur,Industrial Corridor,90.19,29,63,58.6,1,Under Hearing,43.2,1,22.8,Partial,52.9,33.4,0
e0c0e91c,Tamil Nadu,Salem,Urban Development,12.79,42,566,96.8,0,None,36.6,1,13.6,Partial,57.8,47.8,1
670e90cf,Tamil Nadu,Madurai,Railway,7.34,12,570,41.5,0,None,66.0,2,24.7,Not Started,36.8,20.1,1
57a09942,Rajasthan,Jodhpur,Industrial Corridor,25.34,13,1221,65.7,0,None,65.1,0,31.8,Full,35.4,32.5,0
cfde2514,Bihar,Patna,Industrial Corridor,9.42,500,91,65.9,0,None,64.8,3,59.5,Not Started,58.9,52.8,1
aaf4954f,Uttar Pradesh,Meerut,Power Transmission,9.86,47,1440,71.5,0,None,65.3,2,29.7,Partial,7.3,21.4,0
54b392d6,Uttar Pradesh,Agra,Irrigation,20.34,14,1322,39.9,2,Filed,40.5,2,12.5,Not Started,84.5,34.8,0
43e26a77,Bihar,Muzaffarpur,Power Transmission,74.54,108,1313,63.5,0,None,76.2,2,73.3,Not Started,84.4,40.9,1
8396e831,Odisha,Rourkela,Irrigation,23.3,48,768,48.8,0,None,26.1,4,17.8,Full,53.0,34.7,1
4ea910f4,Bihar,Gaya,Urban Development,21.18,31,794,43.9,0,None,45.2,2,45.3,Not Started,63.8,48.1,1
3850a61b,Bihar,Patna,Irrigation,64.97,32,1312,16.3,1,Filed,37.9,2,43.0,Not Started,61.6,53.4,1
b8857f03,Tamil Nadu,Madurai,Railway,17.59,32,259,65.0,0,None,39.0,2,27.2,Partial,60.0,42.3,1
8414785e,Madhya Pradesh,Jabalpur,Highway,19.42,52,924,46.4,0,None,32.3,2,33.1,Partial,34.1,62.2,1
42d51d35,West Bengal,Howrah,Industrial Corridor,90.92,55,1215,56.0,0,None,60.0,4,26.9,Not Started,48.6,34.1,1
6482e108,Odisha,Rourkela,Railway,10.73,20,317,84.6,1,Resolved,87.6,2,59.5,Partial,83.0,46.7,0
abe276f2,Madhya Pradesh,Bhopal,Power Transmission,4.21,87,1326,36.2,1,Resolved,56.1,4,21.9,Partial,31.8,54.6,0
670f59e0,Maharashtra,Nagpur,Irrigation,8.08,208,547,70.5,0,None,28.2,2,9.0,Partial,88.3,55.6,0
91151309,Rajasthan,Jodhpur,Industrial Corridor,17.3,93,1189,19.3,1,Under Hearing,66.3,2,20.9,Partial,56.0,41.3,1
debd9feb,Rajasthan,Jodhpur,Power Transmission,7.19,8,1242,51.1,0,None,33.7,4,43.8,Partial,88.2,40.3,1
18ae4bd6,Odisha,Bhubaneswar,Highway,32.3,94,1322,27.4,0,None,34.5,4,10.6,Partial,63.0,35.5,1
4e43c0df,Odisha,Cuttack,Highway,13.56,61,1363,96.7,1,Under Hearing,9.1,0,104.4,Full,29.9,30.4,1
73d8a728,Karnataka,Bengaluru,Highway,5.02,73,537,71.6,1,Filed,56.6,6,16.8,Not Started,65.8,37.2,1
b0623150,Karnataka,Belagavi,Highway,5.93,95,1012,32.6,2,Resolved,12.0,0,13.2,Partial,46.6,75.2,0
07ef012d,Odisha,Cuttack,Industrial Corridor,34.74,37,623,74.1,0,None,76.3,2,20.1,Partial,32.1,33.9,0
6c301465,Bihar,Muzaffarpur,Irrigation,1.47,8,1025,53.0,1,Under Hearing,55.0,0,23.3,Not Started,27.8,29.4,1
d1adfbb7,Odisha,Bhubaneswar,Urban Development,8.72,10,530,22.1,2,Filed,45.3,3,11.7,Partial,47.8,5.0,1
9c5ca9a2,Madhya Pradesh,Gwalior,Urban Development,13.26,49,1075,54.8,0,None,28.8,1,11.2,Partial,93.6,35.4,0
9e02ff21,Bihar,Gaya,Highway,3.83,203,1153,29.9,0,None,32.6,1,53.7,Not Started,74.6,49.2,1
ec6ceb18,West Bengal,Durgapur,Highway,20.35,206,131,23.1,0,None,67.3,0,49.0,Partial,76.1,51.5,0
05da95d5,Tamil Nadu,Salem,Railway,10.37,25,464,62.6,0,None,30.8,5,25.2,Partial,42.7,50.1,0
ee9eb01a,Tamil Nadu,Coimbatore,Industrial Corridor,21.32,84,428,61.8,0,None,49.6,1,25.3,Not Started,47.9,47.4,0
25da50b6,Rajasthan,Kota,Railway,10.39,154,1367,64.6,0,None,88.0,2,26.8,Not Started,47.2,38.0,0
f7b0717b,Maharashtra,Nashik,Industrial Corridor,22.22,69,641,16.6,2,Filed,37.1,1,19.0,Partial,62.5,42.7,0
7efaab84,Maharashtra,Pune,Industrial Corridor,5.16,203,1361,85.2,0,None,20.9,2,21.5,Not Started,32.6,24.6,1
d985eb79,Madhya Pradesh,Jabalpur,Urban Development,3.57,114,703,74.0,0,None,45.5,6,73.0,Not Started,45.3,29.4,1
9bbc13fc,Karnataka,Belagavi,Industrial Corridor,37.44,96,1422,86.9,3,Filed,54.3,6,21.8,Full,73.4,15.3,1
b1f9acdc,Tamil Nadu,Chennai,Industrial Corridor,14.66,9,672,60.1,0,None,32.2,2,37.8,Not Started,51.1,55.9,1
e4ac730f,Gujarat,Rajkot,Urban Development,29.8,5,1212,83.8,0,None,64.8,3,87.2,Not Started,25.5,33.7,0
9ba4cd0c,Uttar Pradesh,Kanpur,Railway,2.65,56,87,35.6,0,None,22.7,6,6.1,Not Started,78.9,34.8,0
abf15642,Karnataka,Hubballi,Urban Development,14.86,146,548,99.6,0,None,51.5,1,2.0,Full,30.2,26.3,0
fd837590,Tamil Nadu,Madurai,Industrial Corridor,23.72,90,651,63.2,0,None,63.9,4,78.7,Full,65.8,40.7,1
19245ef8,Madhya Pradesh,Bhopal,Power Transmission,26.92,119,282,88.9,0,None,50.1,0,48.0,Not Started,52.5,20.9,0
b4d916d7,Uttar Pradesh,Varanasi,Railway,19.19,30,1109,51.9,2,Filed,51.8,0,79.4,Not Started,38.5,35.6,0
e09ebdf5,Bihar,Patna,Urban Development,4.43,43,1404,46.3,0,None,48.8,5,20.6,Not Started,46.5,53.6,0
920edb5f,West Bengal,Durgapur,Power Transmission,23.84,113,913,61.1,2,Filed,15.4,4,12.3,Not Started,88.2,41.5,1
54815985,Tamil Nadu,Madurai,Irrigation,26.34,202,926,60.0,1,Filed,11.4,4,32.2,Partial,66.1,43.6,0
5b12a2f1,Uttar Pradesh,Kanpur,Railway,5.29,198,1338,54.7,1,Under Hearing,49.9,1,10.5,Partial,10.5,6.8,1
b7bb2e48,Karnataka,Mysuru,Irrigation,1.1,259,1114,70.3,1,Filed,29.0,2,41.7,Partial,55.0,64.9,1
7f535763,West Bengal,Kolkata,Irrigation,26.93,53,184,24.1,0,None,74.6,1,10.1,Partial,10.0,18.2,1
c906bdf1,Madhya Pradesh,Jabalpur,Power Transmission,33.3,60,1413,70.5,0,None,39.9,3,10.3,Not Started,31.7,43.0,0
764db676,Bihar,Bhagalpur,Railway,18.63,787,390,87.8,2,Under Hearing,14.9,2,33.3,Partial,67.4,19.8,1
89f688c4,West Bengal,Kolkata,Urban Development,25.77,184,1166,65.9,1,Stay Order,42.8,3,30.5,Full,98.0,7.9,1
ac33b2cc,Tamil Nadu,Salem,Highway,6.21,113,832,49.4,0,None,55.5,3,22.6,Partial,58.2,29.1,1
f607c28b,Gujarat,Ahmedabad,Urban Development,6.83,237,1144,22.6,1,Under Hearing,19.8,5,6.0,Partial,47.3,16.2,1
99e097e4,Maharashtra,Aurangabad,Irrigation,20.3,169,1200,87.4,1,Filed,73.7,5,30.4,Partial,91.5,26.9,0
f1cec616,Karnataka,Hubballi,Urban Development,9.01,439,168,31.1,4,Filed,88.9,4,39.5,Partial,65.9,38.6,0
5946f8ed,Madhya Pradesh,Bhopal,Urban Development,62.42,376,1486,24.9,0,None,55.6,4,39.2,Not Started,87.8,48.3,1
4d013ae7,Odisha,Cuttack,Railway,12.23,320,1221,86.4,0,None,95.8,7,2.6,Not Started,67.3,59.4,0
0252516c,West Bengal,Siliguri,Urban Development,40.97,31,1330,58.0,1,Resolved,31.9,3,64.3,Not Started,46.7,38.9,0
bbd5be6a,Odisha,Rourkela,Irrigation,0.96,14,371,51.9,0,None,24.9,2,32.0,Partial,60.0,55.3,1
e5bde946,West Bengal,Kolkata,Highway,1.85,35,1238,67.5,1,Stay Order,26.3,3,74.6,Partial,32.5,33.9,1
f9d6cb46,Karnataka,Bengaluru,Urban Development,1.71,443,749,73.3,1,Under Hearing,28.4,5,13.6,Full,46.7,24.2,1
caabb480,Odisha,Rourkela,Power Transmission,145.39,661,895,43.5,1,Filed,15.9,6,42.3,Full,79.8,50.0,0
899ce216,Madhya Pradesh,Jabalpur,Highway,77.68,773,1368,72.9,1,Resolved,46.7,0,17.7,Not Started,49.0,12.2,1
2e99f07b,Uttar Pradesh,Lucknow,Railway,24.18,417,1395,46.8,1,Filed,43.2,4,32.0,Partial,55.5,43.0,1
e43ed8f3,Uttar Pradesh,Kanpur,Railway,3.39,55,1477,86.4,0,None,59.0,2,7.7,Full,82.2,15.3,0
6d90173d,Bihar,Bhagalpur,Highway,4.72,373,621,39.7,0,None,56.5,2,23.8,Partial,39.1,7.2,0
adf066ed,Rajasthan,Udaipur,Railway,24.91,439,633,44.8,0,None,28.9,5,12.1,Full,58.4,40.9,1
436d5dcc,Karnataka,Hubballi,Railway,8.06,435,362,17.8,2,Under Hearing,73.3,1,57.3,Partial,57.9,34.0,1
e1eeeb23,Tamil Nadu,Coimbatore,Highway,10.11,411,1407,16.5,0,None,27.0,2,37.2,Partial,39.3,46.1,0
d8538b9f,Maharashtra,Pune,Irrigation,4.18,7,1023,41.1,0,None,25.7,3,32.5,Full,54.6,31.2,1
1a06d8cd,Maharashtra,Nashik,Power Transmission,17.3,70,824,76.1,1,Under Hearing,87.5,1,67.0,Partial,83.7,24.6,0
35c092ba,Uttar Pradesh,Kanpur,Highway,8.7,18,126,45.8,1,Under Hearing,1.5,2,45.8,Partial,60.4,34.4,1
513ef43e,Maharashtra,Aurangabad,Highway,6.73,48,87,7.1,0,None,20.0,3,10.0,Partial,45.5,49.0,1
da559f3e,Madhya Pradesh,Jabalpur,Urban Development,23.45,63,452,26.6,2,Stay Order,30.3,4,14.6,Not Started,84.7,39.7,1
05d9b6f5,Rajasthan,Kota,Industrial Corridor,28.86,79,1192,81.2,1,Filed,53.6,1,25.9,Full,27.4,59.1,0
fcbc563f,West Bengal,Kolkata,Irrigation,99.86,26,176,85.6,1,Stay Order,41.2,0,59.9,Not Started,39.5,19.9,1
5cdb4c66,Tamil Nadu,Coimbatore,Urban Development,3.8,106,209,36.5,1,Filed,53.0,5,17.7,Partial,97.3,53.9,1
fba54d1e,Tamil Nadu,Salem,Urban Development,16.63,70,1055,11.3,1,Filed,53.2,1,8.8,Partial,90.3,45.0,1
1955f61f,Uttar Pradesh,Agra,Irrigation,3.33,23,48,70.8,0,None,64.1,2,14.7,Full,57.5,30.7,0
fb80364d,Uttar Pradesh,Kanpur,Urban Development,15.98,174,1051,85.9,1,Resolved,51.2,3,30.8,Partial,61.2,12.5,0
d3abe040,Gujarat,Vadodara,Irrigation,11.65,54,1043,29.0,1,Stay Order,21.4,4,94.7,Not Started,87.8,46.5,1
66207d7d,Tamil Nadu,Chennai,Urban Development,15.15,18,1454,47.8,0,None,12.8,4,16.1,Full,62.9,37.7,1
bdcf146d,Rajasthan,Jaipur,Highway,74.23,92,85,60.5,0,None,63.9,3,16.3,Full,52.2,50.9,0
3bf34705,Odisha,Cuttack,Power Transmission,34.05,26,1376,49.4,0,None,90.5,2,36.7,Full,10.5,54.2,1
99097b05,Gujarat,Ahmedabad,Industrial Corridor,3.14,78,549,52.9,1,Under Hearing,21.4,2,46.5,Partial,86.8,37.1,1
0ce35e65,Bihar,Gaya,Industrial Corridor,21.22,11,596,38.6,0,None,54.9,1,38.7,Partial,27.0,42.9,0
a4fcccab,Gujarat,Surat,Power Transmission,11.26,24,1484,16.8,0,None,16.8,1,77.3,Not Started,91.1,58.0,1
91b4cd26,Maharashtra,Nagpur,Railway,2.99,1001,1385,60.2,1,Resolved,27.4,3,15.7,Full,59.0,59.0,0
2de13d56,West Bengal,Siliguri,Power Transmission,4.18,65,1160,85.2,0,None,58.4,3,11.1,Not Started,57.5,19.1,0
35487e69,Tamil Nadu,Madurai,Highway,7.06,291,317,32.6,1,Stay Order,54.0,1,14.0,Partial,20.7,30.3,1
3fe6410d,Maharashtra,Pune,Railway,28.52,199,929,79.4,0,None,42.2,1,2.7,Not Started,74.7,48.7,1
3191b618,Rajasthan,Udaipur,Highway,4.0,17,421,95.1,3,Stay Order,43.6,0,18.1,Full,71.4,14.6,1
106c6bce,Gujarat,Vadodara,Urban Development,19.7,125,1449,65.2,1,Under Hearing,11.9,2,10.8,Full,92.7,31.5,1
bae06684,Karnataka,Hubballi,Railway,32.79,28,1316,75.9,0,None,49.5,3,49.5,Not Started,49.8,25.8,1
7a113809,Uttar Pradesh,Agra,Power Transmission,7.95,100,278,53.3,0,None,70.2,5,57.2,Not Started,57.5,42.1,1
e275343b,Maharashtra,Nagpur,Power Transmission,30.25,36,372,46.7,4,Filed,81.8,1,21.0,Partial,50.2,20.2,1
95b550c5,Gujarat,Vadodara,Railway,29.32,68,1127,73.7,0,None,40.3,2,23.7,Full,50.6,43.9,0
db9c062d,Uttar Pradesh,Meerut,Railway,10.95,33,1209,88.4,2,Stay Order,51.4,5,10.5,Partial,78.9,54.6,1
f59b3d61,Bihar,Gaya,Highway,5.7,26,583,21.3,0,None,64.1,1,19.2,Not Started,60.7,21.6,0
c698d364,Madhya Pradesh,Bhopal,Industrial Corridor,5.51,2,342,49.5,1,Resolved,90.2,4,20.6,Not Started,65.5,20.8,1
cc52eace,Madhya Pradesh,Bhopal,Railway,19.12,35,1472,74.0,0,None,60.7,0,45.7,Partial,56.9,14.0,0
be48ca34,Gujarat,Vadodara,Railway,25.07,61,892,75.1,0,None,7.8,2,53.3,Partial,25.6,38.6,1
720a2b36,Karnataka,Bengaluru,Industrial Corridor,35.95,77,1330,93.7,1,Under Hearing,42.4,2,22.5,Partial,64.1,46.2,0
c0d83a11,Uttar Pradesh,Meerut,Highway,10.36,7,1095,34.5,1,Stay Order,47.0,3,3.8,Partial,57.2,28.0,1
084ad98b,Uttar Pradesh,Meerut,Railway,77.91,69,400,37.5,0,None,54.6,6,15.5,Not Started,82.0,37.9,1
16a835be,Madhya Pradesh,Gwalior,Urban Development,11.16,98,297,53.5,1,Filed,21.2,6,3.4,Full,17.5,29.5,1
166e601d,Tamil Nadu,Chennai,Industrial Corridor,4.49,69,208,29.1,0,None,66.5,4,55.0,Full,38.3,35.3,1
9eaabe0d,Gujarat,Vadodara,Power Transmission,14.05,56,1118,18.5,0,None,61.9,2,39.4,Not Started,59.9,33.8,0
e54dcbe3,Maharashtra,Thane,Power Transmission,3.38,232,937,42.5,1,Under Hearing,83.9,1,13.1,Partial,30.5,27.0,1
ddf81d2c,Maharashtra,Nashik,Industrial Corridor,2.66,48,916,53.9,0,None,59.0,3,64.1,Not Started,81.4,37.8,1
c1539655,Gujarat,Ahmedabad,Urban Development,12.03,62,401,76.1,0,None,21.5,1,27.8,Not Started,75.6,25.6,0
f6faf57a,Odisha,Rourkela,Power Transmission,14.9,21,386,23.9,0,None,25.0,3,33.4,Not Started,57.0,22.9,0
2d5c20cc,Uttar Pradesh,Varanasi,Irrigation,15.23,174,1020,60.9,1,Under Hearing,84.8,4,16.3,Partial,43.6,20.7,1
e98869eb,Rajasthan,Udaipur,Industrial Corridor,5.18,8,769,45.6,0,None,55.0,2,4.9,Full,36.2,30.0,0
376c7d2f,Gujarat,Ahmedabad,Power Transmission,13.09,723,659,34.4,1,Under Hearing,56.4,4,42.1,Not Started,66.2,10.3,1
3a44357e,Tamil Nadu,Chennai,Industrial Corridor,6.82,41,475,94.9,2,Filed,37.7,4,86.7,Not Started,85.9,69.2,0
6c9aa249,Maharashtra,Pune,Power Transmission,84.09,27,595,39.9,2,Resolved,38.6,0,5.4,Partial,38.5,42.4,1
4cd14aef,West Bengal,Siliguri,Railway,8.23,27,884,36.1,0,None,52.9,1,15.4,Not Started,49.0,29.7,1
0ca80379,West Bengal,Howrah,Railway,14.4,545,1475,12.2,0,None,60.0,2,14.3,Partial,31.5,28.4,1
d99ed7c2,West Bengal,Siliguri,Highway,30.24,22,1091,61.1,1,Under Hearing,79.8,1,9.2,Partial,59.2,42.5,1
2cc41df1,Odisha,Cuttack,Urban Development,148.25,391,286,67.8,1,Resolved,78.4,2,28.1,Partial,87.2,12.6,0
e79ca6bd,Uttar Pradesh,Meerut,Highway,67.93,3,80,38.3,1,Stay Order,29.4,3,46.5,Partial,65.5,40.4,1
5d99e44f,Bihar,Patna,Urban Development,17.63,42,672,51.2,1,Filed,62.8,2,14.9,Full,63.0,14.5,0
2aaf62b7,Maharashtra,Aurangabad,Power Transmission,14.89,106,488,40.2,0,None,83.7,2,19.3,Full,38.7,36.6,0
9e246001,Tamil Nadu,Coimbatore,Highway,20.68,37,839,54.0,1,Filed,54.5,1,19.3,Not Started,62.0,52.2,1
3a53262e,Odisha,Bhubaneswar,Irrigation,25.71,254,883,49.2,0,None,68.0,2,31.8,Full,62.3,54.3,0
f33611cb,Uttar Pradesh,Varanasi,Highway,25.96,109,1168,54.5,0,None,37.7,4,12.9,Full,44.0,10.0,0
86d28339,Madhya Pradesh,Jabalpur,Industrial Corridor,0.84,396,134,28.5,1,Under Hearing,76.4,1,7.6,Not Started,81.4,25.5,1
a212a3f4,Uttar Pradesh,Varanasi,Railway,5.06,16,1203,66.1,1,Under Hearing,41.3,0,38.1,Full,46.8,55.9,0
afd0503b,Bihar,Muzaffarpur,Railway,4.97,69,54,43.0,0,None,81.3,2,16.4,Partial,30.3,22.3,0
578b13b4,West Bengal,Siliguri,Irrigation,13.52,29,133,65.2,0,None,10.9,1,17.1,Not Started,78.4,43.2,1
b09b62f6,Maharashtra,Nashik,Railway,15.31,16,167,58.6,1,Under Hearing,59.6,1,50.9,Partial,1.5,52.2,1
0229b2f8,West Bengal,Durgapur,Railway,7.46,16,677,73.0,0,None,31.8,4,41.3,Not Started,68.8,29.0,0
b5243634,Tamil Nadu,Coimbatore,Railway,5.49,624,828,79.7,1,Filed,30.2,2,22.1,Partial,55.6,44.8,0
48b6cd4c,Maharashtra,Aurangabad,Urban Development,7.78,55,628,87.8,2,Filed,31.9,1,31.1,Full,66.0,34.2,1
4079492d,Uttar Pradesh,Varanasi,Railway,3.9,27,1213,64.1,0,None,21.4,1,49.1,Not Started,95.4,45.8,1
200950fa,Maharashtra,Pune,Railway,5.91,113,505,35.9,1,Under Hearing,32.8,1,39.2,Partial,33.6,41.0,1
2c9eade6,Karnataka,Mysuru,Railway,13.2,10,1189,91.3,1,Resolved,61.3,2,9.9,Full,56.1,35.3,0
78147aa0,West Bengal,Siliguri,Railway,0.51,115,1097,54.4,2,Filed,63.3,3,7.7,Partial,85.3,16.9,1
23e6bcb6,Madhya Pradesh,Bhopal,Power Transmission,50.77,34,527,22.5,1,Resolved,80.4,1,11.9,Full,53.0,34.8,0
414b1264,Karnataka,Belagavi,Power Transmission,4.26,36,197,57.5,0,None,49.4,0,14.4,Not Started,59.8,45.3,0
7cc60a77,Madhya Pradesh,Indore,Power Transmission,0.88,901,948,46.3,0,None,45.8,1,13.9,Partial,62.9,14.7,0
129e180e,Maharashtra,Nashik,Industrial Corridor,7.23,33,498,53.2,0,None,54.3,2,48.8,Full,74.5,22.2,1
9f5334a4,West Bengal,Kolkata,Railway,2.19,64,1157,40.8,2,Filed,82.5,4,26.0,Not Started,80.3,5.0,0
09488e8e,West Bengal,Howrah,Railway,64.31,76,1142,26.5,0,None,21.8,4,18.5,Not Started,65.2,30.9,0
779aa2d6,Maharashtra,Thane,Highway,43.96,103,921,52.5,0,None,71.2,1,21.8,Full,35.9,50.2,0
6cb9875d,Bihar,Patna,Power Transmission,4.44,5,582,96.9,0,None,13.6,3,28.9,Partial,45.8,70.9,1
b2866b1c,West Bengal,Siliguri,Highway,273.94,45,450,12.9,1,Filed,43.4,1,42.1,Full,63.8,35.6,1
3f6375f0,Uttar Pradesh,Kanpur,Urban Development,3.12,121,1207,81.9,1,Stay Order,37.9,4,61.8,Partial,47.1,47.2,1
