project_id,state,district,project_type,land_area_hectares,affected_families,days_since_notification,compensation_disbursed_pct,legal_disputes_count,legal_dispute_stage,rr_progress_pct,approvals_pending,dept_response_days_avg,possession_status,documentation_completeness_pct,historical_delay_rate_region,latitude,longitude,location_name,segment_label
2b024f61,Uttar Pradesh,Lucknow,Highway,7.04,68,1021,48.7,0,None,20.1,5,16.6,Partial,28.5,36.1,26.93004,80.9324,Sitapur Road Corridor,Segment 4
82b1487a,Uttar Pradesh,Lucknow,Highway,3.81,64,1098,74.3,0,None,58.7,1,7.1,Full,25.6,21.2,26.91201,80.92854,Sitapur Road Corridor,Segment 5
70c8347c,Uttar Pradesh,Lucknow,Highway,2.35,106,421,38.9,0,None,64.3,4,65.4,Not Started,12.3,42.1,26.92054,80.9279,Sitapur Road Corridor,Segment 6
88c15a0e,Uttar Pradesh,Lucknow,Highway,3.1,49,625,36.2,0,None,92.9,3,4.0,Full,20.5,18.9,26.91922,80.92962,Sitapur Road Corridor,Segment 7
6c8254bf,Uttar Pradesh,Lucknow,Highway,9.89,31,409,6.8,1,Filed,38.1,2,47.6,Full,90.1,50.3,26.92445,80.93108,Sitapur Road Corridor,Segment 8
d4f595ed,Uttar Pradesh,Lucknow,Highway,2.8,17,837,52.8,0,None,44.8,7,10.4,Partial,89.7,38.2,26.8982,80.85289,Hardoi Road Widening,Segment 1
cc20f716,Uttar Pradesh,Lucknow,Highway,0.73,7,943,40.6,0,None,70.5,4,113.7,Not Started,60.3,42.3,26.90709,80.85995,Hardoi Road Widening,Segment 2
fd618010,Uttar Pradesh,Lucknow,Highway,2.02,27,889,17.5,1,Filed,69.5,1,6.3,Full,72.2,52.3,26.90315,80.84616,Hardoi Road Widening,Segment 3
e113a179,Uttar Pradesh,Lucknow,Highway,2.83,11,872,84.2,0,None,83.9,3,28.0,Full,66.2,12.8,26.89949,80.84708,Hardoi Road Widening,Segment 4
caf61d01,Uttar Pradesh,Lucknow,Highway,5.55,36,513,39.8,0,None,61.8,1,29.3,Full,64.1,23.9,26.8975,80.84379,Hardoi Road Widening,Segment 5
1204c56c,Uttar Pradesh,Lucknow,Highway,6.18,52,652,66.3,0,None,84.8,4,72.9,Not Started,21.4,47.1,26.85812,80.87869,IIM Road Extension,Segment 1
e09f3426,Uttar Pradesh,Lucknow,Highway,2.22,54,891,65.9,0,None,66.7,2,0.3,Partial,82.4,49.4,26.86343,80.89035,IIM Road Extension,Segment 2
509a8a88,Uttar Pradesh,Lucknow,Highway,5.04,27,908,18.7,2,Resolved,67.8,4,58.6,Full,85.9,33.3,26.86441,80.8855,IIM Road Extension,Segment 3
06c2e6c5,Uttar Pradesh,Lucknow,Highway,6.39,243,417,43.7,0,None,32.5,5,23.0,Not Started,64.7,22.1,26.85939,80.88748,IIM Road Extension,Segment 4
dae98dfa,Uttar Pradesh,Lucknow,Highway,2.79,58,847,80.9,0,None,20.6,4,7.6,Partial,42.4,25.4,26.8655,80.88976,IIM Road Extension,Segment 5
e879b46f,Uttar Pradesh,Lucknow,Highway,7.22,25,869,53.3,1,Filed,86.9,6,53.9,Partial,40.6,30.6,26.86582,80.89142,IIM Road Extension,Segment 6
0201a35d,Uttar Pradesh,Lucknow,Highway,1.05,133,987,25.1,2,Resolved,75.6,5,20.3,Not Started,48.0,55.1,26.84411,80.99809,Shaheed Path Phase II,Segment 1
10da0f7b,Uttar Pradesh,Lucknow,Highway,12.41,61,483,49.2,2,Filed,49.7,3,25.5,Not Started,39.4,55.8,26.84873,80.99443,Shaheed Path Phase II,Segment 2
124514f3,Uttar Pradesh,Lucknow,Highway,0.97,91,1016,32.7,1,Stay Order,23.6,2,33.0,Full,30.2,54.5,26.85652,81.01017,Shaheed Path Phase II,Segment 3
6a06095a,Uttar Pradesh,Lucknow,Highway,4.59,58,709,71.0,0,None,36.9,1,10.8,Partial,33.0,50.6,26.85561,81.00635,Shaheed Path Phase II,Segment 4
d1050330,Uttar Pradesh,Lucknow,Highway,2.83,30,86,70.0,0,None,33.9,5,10.4,Partial,74.1,36.5,26.84373,80.9969,Shaheed Path Phase II,Segment 5
a4f1f8b3,Uttar Pradesh,Lucknow,Highway,4.21,85,727,79.8,0,None,85.0,0,18.2,Full,77.0,21.0,26.85333,80.99172,Shaheed Path Phase II,Segment 6
4785a565,Uttar Pradesh,Lucknow,Highway,3.87,244,558,24.8,2,Filed,37.3,2,8.9,Partial,44.5,13.4,26.84771,81.00693,Shaheed Path Phase II,Segment 7
47b4668b,Uttar Pradesh,Lucknow,Highway,6.57,11,338,59.2,0,None,68.9,4,9.8,Partial,78.2,31.9,26.83177,80.94712,Outer Ring Road — Lucknow,Segment 1
8388a224,Uttar Pradesh,Lucknow,Highway,19.32,261,539,66.4,4,Under Hearing,33.1,5,25.4,Partial,45.0,49.1,26.82853,80.94613,Outer Ring Road — Lucknow,Segment 2
7c4f2921,Uttar Pradesh,Lucknow,Highway,4.29,9,1040,46.5,1,Stay Order,50.5,6,18.9,Full,36.9,18.6,26.82784,80.95908,Outer Ring Road — Lucknow,Segment 3
142347cf,Uttar Pradesh,Lucknow,Highway,3.06,23,1196,31.0,0,None,23.6,6,63.3,Partial,69.6,38.2,26.82843,80.95712,Outer Ring Road — Lucknow,Segment 4
60219313,Uttar Pradesh,Lucknow,Highway,20.31,64,952,50.7,0,None,62.2,3,44.2,Full,20.1,17.4,26.82625,80.9562,Outer Ring Road — Lucknow,Segment 5
9ef48106,Uttar Pradesh,Lucknow,Highway,4.26,9,238,61.4,0,None,45.5,1,12.4,Not Started,72.4,46.0,26.83278,80.94646,Outer Ring Road — Lucknow,Segment 6
01bdb32f,Uttar Pradesh,Lucknow,Highway,2.82,77,405,74.5,0,None,67.5,2,7.0,Full,7.2,51.6,26.82162,80.96297,Outer Ring Road — Lucknow,Segment 7
edde8e55,Uttar Pradesh,Lucknow,Urban Development,3.18,130,526,26.1,0,None,22.8,3,60.8,Not Started,25.4,38.5,26.86476,81.03639,Gomti Nagar Extension Road,Segment 1
524f6f1a,Uttar Pradesh,Lucknow,Urban Development,1.69,57,898,34.3,0,None,82.8,5,15.6,Partial,51.7,46.8,26.86273,81.03896,Gomti Nagar Extension Road,Segment 2
bc3b229d,Uttar Pradesh,Lucknow,Urban Development,2.27,50,71,89.9,0,None,60.3,3,53.9,Not Started,89.7,26.9,26.85836,81.02557,Gomti Nagar Extension Road,Segment 3
3fdd3b3e,Uttar Pradesh,Lucknow,Urban Development,17.06,21,506,55.9,0,None,67.5,4,37.3,Full,59.1,35.3,26.85233,81.02425,Gomti Nagar Extension Road,Segment 4
aaac8ea5,Uttar Pradesh,Lucknow,Urban Development,16.93,24,1166,3.2,0,None,54.2,1,7.9,Partial,38.1,31.4,26.85642,81.03793,Gomti Nagar Extension Road,Segment 5
cd2fabd4,Uttar Pradesh,Lucknow,Urban Development,3.18,13,680,36.1,0,None,93.9,2,6.5,Full,50.0,20.0,26.78333,80.92876,Ashiyana–Sultanpur Link Road,Segment 1
dbfcd6e6,Uttar Pradesh,Lucknow,Urban Development,17.95,35,1062,40.5,0,None,79.8,4,8.1,Full,65.7,29.2,26.79077,80.92492,Ashiyana–Sultanpur Link Road,Segment 2
f9f5c613,Uttar Pradesh,Lucknow,Urban Development,7.96,19,87,83.7,0,None,51.4,3,25.1,Full,40.9,45.8,26.78426,80.91876,Ashiyana–Sultanpur Link Road,Segment 3
dceccc9d,Uttar Pradesh,Lucknow,Urban Development,1.92,67,718,44.6,0,None,45.4,3,16.6,Partial,53.1,45.0,26.79562,80.92183,Ashiyana–Sultanpur Link Road,Segment 4
9e954244,Uttar Pradesh,Lucknow,Urban Development,5.94,248,150,54.7,0,None,39.0,1,15.3,Partial,44.4,27.6,26.78255,80.93184,Ashiyana–Sultanpur Link Road,Segment 5
cb3b9318,Uttar Pradesh,Lucknow,Urban Development,5.32,33,672,69.4,0,None,75.4,3,109.0,Partial,60.3,11.4,26.78221,80.93407,Ashiyana–Sultanpur Link Road,Segment 6
a44dc44d,Uttar Pradesh,Lucknow,Urban Development,1.53,20,1150,38.7,0,None,62.3,4,18.9,Not Started,67.5,53.8,26.78928,80.92242,Ashiyana–Sultanpur Link Road,Segment 7
5bdcf17b,Uttar Pradesh,Lucknow,Highway,9.53,67,348,92.2,1,Under Hearing,72.4,3,8.6,Partial,66.8,50.0,26.93885,80.92357,Kursi Road Widening,Segment 1
0e05807c,Uttar Pradesh,Lucknow,Highway,5.94,26,625,38.8,1,Filed,5.9,4,48.3,Partial,70.4,38.4,26.92645,80.91072,Kursi Road Widening,Segment 2
b0e6850a,Uttar Pradesh,Lucknow,Highway,2.64,107,80,77.5,0,None,94.3,1,7.9,Not Started,62.6,24.1,26.93172,80.90936,Kursi Road Widening,Segment 3
17f7ee20,Uttar Pradesh,Lucknow,Highway,2.11,40,839,89.2,1,Resolved,61.3,1,6.9,Full,49.0,43.7,26.92163,80.91645,Kursi Road Widening,Segment 4
1dfe371b,Uttar Pradesh,Lucknow,Highway,9.55,17,782,33.0,0,None,18.2,5,33.5,Full,47.1,65.5,26.92431,80.91011,Kursi Road Widening,Segment 5
46975145,Uttar Pradesh,Lucknow,Highway,9.97,16,1025,74.6,0,None,89.5,2,27.7,Partial,30.1,52.6,26.92532,80.91101,Kursi Road Widening,Segment 6
7b66ebb1,Uttar Pradesh,Lucknow,Highway,3.18,161,361,42.7,3,Under Hearing,90.0,2,14.9,Partial,76.7,9.4,26.9308,80.91849,Kursi Road Widening,Segment 7
10208b44,Uttar Pradesh,Lucknow,Highway,11.57,36,205,55.9,0,None,38.7,2,20.0,Partial,70.5,57.7,26.89964,80.99941,Deva Road Corridor,Segment 1
a2641b02,Uttar Pradesh,Lucknow,Highway,4.62,188,504,77.0,0,None,66.3,1,18.3,Full,6.8,75.9,26.89138,81.00499,Deva Road Corridor,Segment 2
ba7bcf6e,Uttar Pradesh,Lucknow,Highway,4.24,17,218,72.3,0,None,53.9,3,9.6,Full,82.6,29.7,26.89138,81.00011,Deva Road Corridor,Segment 3
37e30800,Uttar Pradesh,Lucknow,Highway,2.56,105,195,30.4,0,None,82.7,1,73.4,Full,43.1,61.7,26.89204,81.00551,Deva Road Corridor,Segment 4
1cc1a3ab,Uttar Pradesh,Lucknow,Highway,1.91,42,1199,77.5,0,None,69.2,3,11.4,Not Started,75.4,44.5,26.8936,80.99855,Deva Road Corridor,Segment 5
1c1c9884,Uttar Pradesh,Lucknow,Highway,6.57,78,383,76.6,0,None,28.1,4,12.8,Not Started,66.1,24.0,26.89085,80.99077,Deva Road Corridor,Segment 6
55f3b9f6,Uttar Pradesh,Lucknow,Highway,2.31,27,937,33.5,0,None,72.8,1,20.3,Full,64.3,19.5,26.89357,81.00571,Deva Road Corridor,Segment 7
6f7f9aff,Uttar Pradesh,Lucknow,Highway,8.81,78,1040,73.3,0,None,76.2,4,10.2,Not Started,48.1,26.5,26.90695,81.00641,Deva Road Corridor,Segment 8
fe9f6b04,Uttar Pradesh,Lucknow,Highway,2.15,376,1036,22.4,0,None,52.4,2,45.1,Partial,70.1,24.0,26.73983,80.84059,Mohan Road Upgrade,Segment 1
b7d7a587,Uttar Pradesh,Lucknow,Highway,3.59,82,406,68.2,0,None,54.5,5,27.7,Partial,90.8,33.9,26.74575,80.84722,Mohan Road Upgrade,Segment 2
17f3c724,Uttar Pradesh,Lucknow,Highway,8.55,16,928,18.9,0,None,73.7,4,30.1,Partial,62.2,54.0,26.75701,80.84359,Mohan Road Upgrade,Segment 3
81f4cd02,Uttar Pradesh,Lucknow,Highway,4.25,19,196,45.0,1,Filed,22.9,4,7.3,Not Started,73.4,52.0,26.74953,80.84587,Mohan Road Upgrade,Segment 4
7a86ef55,Uttar Pradesh,Lucknow,Highway,13.53,12,84,75.0,0,None,76.8,4,27.1,Full,80.6,29.5,26.74016,80.84909,Mohan Road Upgrade,Segment 5
0f4062cf,Uttar Pradesh,Lucknow,Highway,14.42,15,892,38.1,0,None,38.0,0,13.5,Partial,43.1,19.9,26.745,80.84773,Mohan Road Upgrade,Segment 6
f89d6884,Uttar Pradesh,Lucknow,Highway,4.35,31,73,90.4,1,Under Hearing,17.6,2,10.0,Not Started,26.7,46.9,26.86283,81.05087,Chinhat–Ayodhya Road Bypass,Segment 1
59f42390,Uttar Pradesh,Lucknow,Highway,2.41,2,811,88.0,0,None,70.4,1,5.3,Partial,61.3,22.6,26.86393,81.03998,Chinhat–Ayodhya Road Bypass,Segment 2
116e385b,Uttar Pradesh,Lucknow,Highway,27.86,35,241,47.8,0,None,51.5,4,33.2,Full,44.8,44.7,26.86806,81.0468,Chinhat–Ayodhya Road Bypass,Segment 3
27193073,Uttar Pradesh,Lucknow,Highway,4.31,31,1108,74.5,1,Resolved,67.1,2,17.5,Full,81.2,37.7,26.87687,81.04591,Chinhat–Ayodhya Road Bypass,Segment 4
347a4e19,Uttar Pradesh,Lucknow,Highway,1.9,9,275,20.9,0,None,7.6,2,20.0,Partial,55.9,48.3,26.87434,81.04319,Chinhat–Ayodhya Road Bypass,Segment 5
2a3b374f,Uttar Pradesh,Lucknow,Highway,5.75,52,175,87.8,1,Resolved,61.5,1,34.7,Partial,59.1,38.9,26.87907,81.03893,Chinhat–Ayodhya Road Bypass,Segment 6
c205650e,Uttar Pradesh,Lucknow,Urban Development,7.83,39,590,40.2,0,None,41.9,4,28.5,Not Started,54.3,28.6,26.89885,80.94948,Vikas Nagar Link Road,Segment 1
d7a850c5,Uttar Pradesh,Lucknow,Urban Development,21.99,70,233,66.1,1,Under Hearing,73.4,1,25.8,Full,79.7,27.2,26.89476,80.94503,Vikas Nagar Link Road,Segment 2
d7f1e846,Uttar Pradesh,Lucknow,Urban Development,5.55,6,908,75.9,0,None,34.8,2,32.7,Partial,77.6,30.5,26.90224,80.94867,Vikas Nagar Link Road,Segment 3
af859db1,Uttar Pradesh,Lucknow,Urban Development,4.61,19,1059,10.6,0,None,13.8,1,27.7,Full,33.4,49.1,26.90204,80.93839,Vikas Nagar Link Road,Segment 4
5d076cc2,Uttar Pradesh,Lucknow,Urban Development,5.27,31,1052,45.2,0,None,26.9,3,66.7,Partial,79.4,42.6,26.89209,80.95082,Vikas Nagar Link Road,Segment 5
9883d4de,Uttar Pradesh,Lucknow,Urban Development,1.89,445,1081,40.1,1,Resolved,42.4,3,43.1,Partial,33.2,9.0,26.89568,80.94781,Vikas Nagar Link Road,Segment 6
bf703a6f,Uttar Pradesh,Lucknow,Urban Development,1.93,9,830,27.3,0,None,55.1,2,5.1,Partial,97.4,30.7,26.89074,80.93908,Vikas Nagar Link Road,Segment 7
beb8036b,Uttar Pradesh,Lucknow,Urban Development,1.06,147,914,41.4,0,None,9.8,1,59.5,Full,56.6,57.6,26.83073,80.90731,Alambagh–Charbagh Corridor,Segment 1
ad2a750d,Uttar Pradesh,Lucknow,Urban Development,3.24,15,510,43.7,0,None,69.9,2,22.5,Partial,61.5,57.4,26.82314,80.90728,Alambagh–Charbagh Corridor,Segment 2
3478a7e0,Uttar Pradesh,Lucknow,Urban Development,2.58,197,134,68.0,0,None,35.8,1,5.5,Partial,83.8,47.0,26.82457,80.91408,Alambagh–Charbagh Corridor,Segment 3
17fbd403,Uttar Pradesh,Lucknow,Urban Development,4.68,40,303,54.1,2,Filed,39.0,1,23.8,Not Started,31.4,14.7,26.81238,80.9062,Alambagh–Charbagh Corridor,Segment 4
6090f6f6,Uttar Pradesh,Lucknow,Urban Development,16.42,130,943,74.0,0,None,78.8,1,11.6,Full,59.5,51.0,26.82462,80.91026,Alambagh–Charbagh Corridor,Segment 5
50e4e0bd,Uttar Pradesh,Lucknow,Urban Development,5.88,46,272,57.2,1,Under Hearing,35.4,3,4.9,Not Started,50.6,56.8,26.81597,80.91413,Alambagh–Charbagh Corridor,Segment 6
21c14f0c,Uttar Pradesh,Lucknow,Urban Development,4.42,117,997,79.6,3,Filed,93.8,3,0.9,Partial,66.0,21.1,26.83916,80.94341,Hazratganj–Aminabad Corridor Redevelopment,Segment 1
9efc3772,Uttar Pradesh,Lucknow,Urban Development,28.4,40,932,35.5,0,None,89.3,3,36.5,Not Started,26.0,26.6,26.84514,80.94842,Hazratganj–Aminabad Corridor Redevelopment,Segment 2
0a0eb7b7,Uttar Pradesh,Lucknow,Urban Development,2.04,20,1165,44.2,1,Under Hearing,36.5,1,33.0,Partial,48.7,43.7,26.84317,80.9406,Hazratganj–Aminabad Corridor Redevelopment,Segment 3
25f7f533,Uttar Pradesh,Lucknow,Urban Development,7.87,22,717,44.4,0,None,86.8,2,38.9,Not Started,68.7,32.2,26.84201,80.93777,Hazratganj–Aminabad Corridor Redevelopment,Segment 4
1d3ab9d7,Uttar Pradesh,Lucknow,Urban Development,6.14,61,722,27.1,2,Resolved,59.0,1,28.1,Full,70.0,22.9,26.84731,80.93605,Hazratganj–Aminabad Corridor Redevelopment,Segment 5
2d7b4ff5,Uttar Pradesh,Lucknow,Urban Development,1.14,6,724,60.1,0,None,26.5,2,56.6,Partial,65.2,51.2,26.81678,80.85831,Transport Nagar Link Road,Segment 1
d8b2d19f,Uttar Pradesh,Lucknow,Urban Development,3.01,16,774,51.0,0,None,61.3,2,25.2,Not Started,73.0,49.3,26.81853,80.86914,Transport Nagar Link Road,Segment 2
5ef5807f,Uttar Pradesh,Lucknow,Urban Development,11.92,77,457,21.0,0,None,63.3,3,19.1,Partial,81.3,47.4,26.81994,80.85339,Transport Nagar Link Road,Segment 3
d68d98b8,Uttar Pradesh,Lucknow,Urban Development,2.43,51,283,37.1,0,None,35.1,2,28.4,Partial,77.1,47.8,26.81838,80.86379,Transport Nagar Link Road,Segment 4
5a454cf3,Uttar Pradesh,Lucknow,Urban Development,6.72,16,832,49.4,1,Resolved,43.9,2,13.2,Partial,69.2,38.3,26.8249,80.85688,Transport Nagar Link Road,Segment 5
e747d5f2,Uttar Pradesh,Lucknow,Urban Development,2.38,40,643,30.6,1,Filed,73.4,2,21.8,Full,68.8,34.0,26.82527,80.87218,Transport Nagar Link Road,Segment 6
2422c370,Uttar Pradesh,Lucknow,Urban Development,2.68,11,1096,52.7,1,Filed,49.7,1,59.2,Full,89.8,53.7,26.82094,80.86373,Transport Nagar Link Road,Segment 7
a03f3fd2,Uttar Pradesh,Lucknow,Urban Development,3.54,115,239,14.7,1,Resolved,44.3,0,20.9,Not Started,39.5,31.9,26.81601,80.86031,Transport Nagar Link Road,Segment 8
dc6126a9,Uttar Pradesh,Lucknow,Highway,6.87,10,926,44.7,2,Under Hearing,69.5,4,48.6,Partial,46.4,42.9,26.76312,80.87848,Amausi Airport Approach Road,Segment 1
43b8979f,Uttar Pradesh,Lucknow,Highway,1.62,53,204,51.1,1,Filed,17.0,1,57.5,Full,38.3,41.9,26.75171,80.88849,Amausi Airport Approach Road,Segment 2
c381b3d7,Uttar Pradesh,Lucknow,Highway,2.98,61,982,48.8,1,Resolved,32.4,2,29.7,Partial,94.9,32.6,26.77052,80.87551,Amausi Airport Approach Road,Segment 3
02b9e478,Uttar Pradesh,Lucknow,Highway,9.35,214,279,15.2,2,Resolved,17.5,3,8.1,Full,75.5,36.5,26.75345,80.88181,Amausi Airport Approach Road,Segment 4
570b23ba,Uttar Pradesh,Lucknow,Highway,4.82,45,230,79.9,0,None,2.4,2,22.7,Partial,34.7,49.5,26.76808,80.88123,Amausi Airport Approach Road,Segment 5
